date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Gas Fees,forecasted_Total Transferred,forecasted_Net Transferred,forecasted_TVL-uniswap_v1_protocol,forecasted_TVL_opchain-uniswap_v1_protocol
2024-09-01 00:00:00,134.44856968081652,77.45334037130354,64.05055669004018,0.0002255586210077506,0.0,1685643436.2618055,7578602.487993675,8549232.338715049
2024-09-02 00:00:00,221.52885902423333,96.75773298946187,108.66738157535482,0.00029152800076793497,0.0,2491242712.223326,7449994.624902541,8031589.77546542
2024-09-03 00:00:00,121.08965507067602,38.251678841393016,90.56118422378006,0.0002797515381468715,0.0,3428723915.700811,7235329.493848171,7978538.358575533
2024-09-04 00:00:00,242.19610002275883,85.23662380355285,73.33544404857594,0.00019304168303911404,0.0,1750315388.928645,7312641.139181055,7801495.541943069
2024-09-05 00:00:00,200.4184977042942,81.57113355127238,82.31425171471383,0.00026967749632541616,0.0,1611031260.616143,7510990.166479569,7541206.177557667
2024-09-06 00:00:00,153.2239590682727,84.5787207836027,67.11348479199611,0.0001973597282193528,0.0,3383590389.3902082,7294957.682552739,7737374.626152813
2024-09-07 00:00:00,136.32666376740477,75.92949867645346,91.93431411008508,0.00019979928713082282,0.0,2268211171.745311,6790399.238229769,7504902.617761532
2024-09-08 00:00:00,206.92871147264822,77.653796461725,71.98356906659748,0.00015444664881842288,0.0,918212404.7872885,6956503.707727169,7394299.061660957
2024-09-09 00:00:00,121.9064312361479,81.47423194667299,77.72388158975065,0.000112235436433762,0.0,1466569081.5239458,6814457.865847948,7698265.932602747
2024-09-10 00:00:00,53.60684529149421,109.47263751867165,61.17203213911916,0.0002490744411751657,0.0,1287153845.5582008,6976069.933932411,7941044.521402302
2024-09-11 00:00:00,124.46356637426872,79.6149377157067,79.96334041752641,0.00027430401979013265,0.0,2128411430.6004236,6619384.136698125,8371006.555692235
2024-09-12 00:00:00,37.82398609261501,47.704695082093295,76.07982724082494,0.0003555640290078405,0.0,1753043057.9954355,6127795.773642661,7179875.613710156
2024-09-13 00:00:00,85.19015031789434,91.4427729845251,75.6095051722142,0.0003431970117303228,0.0,1923825024.9776566,6384068.804945358,7420830.545907221
2024-09-14 00:00:00,175.82430403595444,109.39702314973668,80.2909918461057,0.00022424912652813672,0.0,1243148614.756376,6568514.8674576795,7533700.624197451
2024-09-15 00:00:00,99.03776743712568,78.31326298028621,91.64098912271034,0.00015005541588808155,0.0,2619256606.6504936,6047560.912008628,7625144.155803478
2024-09-16 00:00:00,93.5938206812018,85.52387190373443,62.775268771612495,0.00022688915764507384,0.0,1957766421.0625863,6553499.010002039,7677770.312902814
2024-09-17 00:00:00,132.65422922379375,92.2685342365922,84.64515223756943,0.00014578516386906952,0.0,1294223749.0921707,5844571.148313693,7872773.636338481
2024-09-18 00:00:00,110.90698898519881,115.94658782167308,88.23668484957314,0.00014319375956799407,0.0,1390543099.6828249,6262638.298631894,7798897.585134522
2024-09-19 00:00:00,112.63968055793899,54.41312046177933,75.52291049366053,0.0003227088892317878,0.0,1477114655.8615668,5806892.002769638,8567583.081123358
2024-09-20 00:00:00,75.61345529150714,98.33347524530942,92.80874376383004,0.00032958247628247546,0.0,2139272003.8810544,6516051.931933848,8512911.339042194
2024-09-21 00:00:00,56.15498133592452,60.80853002534881,90.34211885652873,0.00014071147078361577,0.0,2141418158.6266973,6022789.9094199715,8495328.022731742
2024-09-22 00:00:00,126.26001924181482,91.11091967327503,90.96962472032838,0.00020546457472873968,0.0,1053790199.4361268,5861766.786109886,9098957.370573496
2024-09-23 00:00:00,97.4189835966466,57.31941144378651,67.30455082276404,0.0002093812085856724,0.0,1251224005.4751291,6453982.290465983,7807258.372602375
2024-09-24 00:00:00,170.80831017498517,115.64857585119793,70.22201546183503,0.00017912317851192535,0.0,1786209199.1199782,6004662.271608838,8189218.6545458445
2024-09-25 00:00:00,87.69487477370053,128.83847172964664,57.05407920135358,0.0002848494091856506,0.0,2084429241.2889166,6266732.525915872,8193094.7248389395
2024-09-26 00:00:00,131.38900791450243,107.71445098899736,79.90860654425478,0.0003276264936776166,0.0,1942760662.0848365,5627119.016749269,8895335.352399208
2024-09-27 00:00:00,119.34927085956562,74.05790680997346,77.15371978397631,0.00023081082899278788,0.0,1452993665.1236038,6339327.843486484,8632773.945061978
2024-09-28 00:00:00,81.85929222366137,63.65712754113389,34.21915524369949,0.0001729200552752739,0.0,1739621860.1108065,6224248.372564046,8253678.575508995
2024-09-29 00:00:00,154.49142357448252,100.8492882512701,62.3337773808143,0.00017256457315212463,0.0,823737987.4333024,5424530.502767262,8361019.049121097
2024-09-30 00:00:00,112.80716408272731,77.5453940065871,40.03440417136873,0.00037984107688956374,0.0,1988876643.44855,6328955.122868612,8904122.028853586
2024-10-01 00:00:00,118.49098454831719,91.03277775632723,84.46958372687554,0.00014032004301202727,0.0,2099351392.1273046,5714882.9612773815,7269262.200216458
2024-10-02 00:00:00,58.54793724286274,51.72771265801785,48.13215645425845,0.00022473616395128873,0.0,1120758703.884678,5635553.067426763,8810537.898451088
2024-10-03 00:00:00,94.93090119349652,84.9834369978444,53.980617418068356,3.7063642442849876e-05,0.0,2118173879.208699,6230311.086882082,7954494.535377385
2024-10-04 00:00:00,93.80910325647336,88.4113904873019,81.73304454325192,0.0003380065407985016,0.0,1759097545.8114507,5511086.181303247,8200774.57142883
