date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Gas Fees,forecasted_Total Transferred,forecasted_Net Transferred,forecasted_TVL-uniswap_v1_protocol,forecasted_TVL_opchain-uniswap_v1_protocol
2024-09-01 00:00:00,142.8217191350751,86.70904306418478,74.44060743061443,0.00012530706928216503,0.0,1111762415.3163996,6877679.113098527,7770161.412441614
2024-09-02 00:00:00,157.59066433441046,114.81812621043919,57.572123215508974,0.0001999519248173052,0.0,2298447135.9715824,7223901.854706931,7294827.2368221795
2024-09-03 00:00:00,197.53788292714285,93.75203834999017,66.55485771902015,0.00021821244839997372,0.0,1986944639.120881,7586003.073868207,8448870.41982828
2024-09-04 00:00:00,132.65078684239248,88.18882510602897,64.09819879535753,0.00017620994978555392,0.0,1783498766.847232,7058508.936770357,7655702.883497078
2024-09-05 00:00:00,257.97764806314285,85.38758460944743,56.82423495096356,0.0002843462606061464,0.0,2261310701.808771,7277657.070704048,7930159.0491293445
2024-09-06 00:00:00,167.6809038715121,98.233231416263,71.12155208672479,0.00029621851418809705,0.0,1548876474.8069997,8157412.199320478,7606376.887353739
2024-09-07 00:00:00,137.26475778142344,108.6249786230169,59.60388534451412,0.00021419971406277084,0.0,1778549375.46579,7416559.872339848,7539825.981744981
2024-09-08 00:00:00,124.10396162946293,100.01930674910085,33.06063199567105,0.0001566296052321529,0.0,1306732952.9747453,7766870.086702315,7462927.859251678
2024-09-09 00:00:00,195.27910163462994,77.02467830034284,11.821344813108803,0.00016775495234511961,0.0,2806304807.320779,7305623.954254785,7463469.635037929
2024-09-10 00:00:00,146.0901815693085,69.09080484603825,69.32189155640302,0.00013930903517453232,0.0,1502779184.142369,7812529.76728311,7676925.5916103935
2024-09-11 00:00:00,94.45187043108024,71.88398312583209,64.48759983126908,0.00022488042631323382,0.0,2052651802.9542086,7516214.388009686,7617720.786855777
2024-09-12 00:00:00,139.1931178104288,68.86613905659814,68.96782726912768,0.00017656567357451341,0.0,1330341170.7041695,7350451.905118829,8221694.614160689
2024-09-13 00:00:00,154.09988509173158,174.4472285069442,66.83282955778355,0.0002099963405883604,0.0,2674251209.274994,7605376.37351969,7844514.599628446
2024-09-14 00:00:00,92.06460344040605,140.69602204625798,61.885199554972665,0.00023901388045733095,0.0,1512660819.1358185,7198431.701071001,7880254.258294529
